,state,Satisfaction,text,sent,emotion
0,Utah,5,Dr Jeff ODriscoll speaking,neutral,neutral
1,Arizona,5,,neutral,neutral
2,Texas,5,People not slamming dorm room doors from 6am to 8:30 am,neutral,neutral
3,Utah,5,,neutral,neutral
4,Utah,5,Good mix of spiritual and other interests. ,positive,positive
5,Utah,5,I would appreciate longer and more detailed descriptions on what the classes will be about and more information about the teachers.,positive,trust
6,Texas,5,Brown route shuttles from the Marriott! The overflow for “the chosen” classes were rough but overall most classes have the space permitted. ,negative,negative
7,Utah,2,Make it less woke.,neutral,neutral
8,Utah,5,When I was younger the classes helped me as a mother and also gave me the spiritual uplift I needed. I am way older now but still need the knowledge and testimonies given . There is also something strengthening about just being surrounded by all those attending who are striving to learn more and become more like the Savior. I still Ned that at any age,positive,trust
9,Utah,5,Get a ride up the hill from helaman halls to the buildings.  Ha!,positive,positive
10,Arizona,5,Less fire alarms being pulled.,negative,fear
11,Utah,5,"I was very disappointed by the political comments that Jeff R. Segelke continuously made during his presentation on Wednesday at BYU Education Week. Throughout the presentation he continued to blame problems like inflation on what happened 3-1/2 years ago ""because we all know what happened 3-1/2 years ago.” The comment was made multiple times. It was not good.",negative,negative
12,Utah,4,If the description more closely matches the content.,neutral,neutral
13,Arizona,5,Our friends had been before and recommended it.    We retired so we had the time. ,positive,positive
14,Utah,5,There was no overflow classroom in the conference building so we had to miss.,negative,negative
15,Utah,5,"Please consider some additional food trucks by the Marriott Center, if possible.  It would be nice to have choices other than a hamburger and fries.",positive,trust
16,Michigan,5,It has changed me forever! I loved every class I attended!,positive,positive
17,California,5,More details about the class!!!,positive,positive
18,Arizona,5,I had a couple of friends who had been going and decided to join them. They spoke so highly of it. ,positive,positive
19,Utah,4,A 2-3 class option. I went from 3-5:30 and had 2 classes but had to get a full day because it crossed over to 2 sessions.,neutral,neutral
20,Utah,4,,neutral,neutral
21,Utah,5,Can’t think of anything ,negative,negative
22,Utah,4,,neutral,neutral
23,Utah,4,More classes on doctrine and easier access.  Construction made for long walks. Hard to make some classes on time.  ,negative,negative
24,Utah,5,,neutral,neutral
25,Oregon,5,,neutral,neutral
26,Utah,5,love to learn,positive,joy
27,Oregon,5,The focus on learning more about what the scriptures and prophets have taught.  The instructors are well chosen. It has helped me feel spiritually energized.,positive,trust
28,Utah,5,A map on rooms in the Wilkinson Center and which outside doors are closest to use for the class.  ,neutral,neutral
29,Utah,5,Classes being held in buildings that were a little closer together. :) I get you have to use the whole campus. And I appreciate the busses! Just wondered sometimes at the choice of buildings used this year that were a little further apart than last year.  ,positive,positive
30,Nevada,5,I had time off and was invited by extended family,positive,positive
31,Arizona,5,It has definitely left a lasting imprint of wanting to draw nearer to the Savior and fortify myself against sin and unbelief.  It has also just brought more joy into my life!,positive,joy
32,Utah,5,a little more time between classes to get cross across campus.,neutral,anticipation
33,Utah,5,More food options at the Marriott Center. More reasonable prices. ,positive,positive
34,Utah,5,Some classes were much too popular for the facilities provided. Perhaps they could be better matched.,neutral,neutral
35,Utah,5,Movement from place to place especially when the classes were in buildings far from one another was difficult. ,negative,fear
36,Utah,5,Nothing to recommend. ,negative,negative
37,Utah,5,Everything was excellent. ,positive,positive
38,Utah,5,It was great. However the concert in the evening - vocal point and noteworthy were terrible. We left after 4 songs. The lighting was bright lights shining in our eyes and the sound was off,negative,negative
39,Utah,5,Seriously it was just perfect!,positive,positive
40,Utah,5,Faith renewed! ,positive,positive
41,California,5,less people... maybe you should have it twice a year with half the people,neutral,neutral
42,Utah,5,,neutral,neutral
43,Utah,4,"The bus system being centralized at the moa was extremely inconvenient, Especially for those who have difficulty walking long distances. The old system of having buses that go to the Wilkinson  Center and along the upper west Road was far more convenient.  Some class choices were made because getting to the Marriott center took too much walking to get to the MOA which was close to the Marriott, but uphill is a hard walk. Personally, it took me one hour to get from the Wilkinson Center to my car at the Marriott center in the middle of the day when I had an errand to run. I enjoyed the classes. I attended very much! I found them uplifting and encouraging.  Staff did a good job of finding overflow for classes that needed it.  ",positive,trust
44,Utah,5,,neutral,neutral
45,Utah,5,I know the classes will be good and it’s a tradition to go with my daughter ,positive,joy
46,Utah,5,Topics and speakers,positive,positive
47,Utah,2,Smaller classes ,neutral,neutral
48,Utah,4,Just keep doing what you're doing.  ,positive,positive
49,Utah,5,Put John Hilton in the Marriot Center,neutral,neutral
50,Utah,5,Less walking to the various presentations!,positive,positive
51,Utah,4,"Either get rid of the rule for no saving seats, or get rid of the people who do. ",negative,fear
52,Utah,3,I on l y went 1 day and learned on my last visit that the Marriott center is the best guarantee of a quality class but I was a bit disappointed this time.  The topics were not really what I was looking for but Anthony Sweat was great,negative,negative
53,Utah,4,Food choices Temporal Preparedness class Ed week bags Chosen class in bigger venue More food choices at Marriot,negative,negative
54,Utah,5,Education week every 6 months🤣,neutral,neutral
55,Nevada,5,,neutral,neutral
56,Arizona,5,Being younger,neutral,neutral
57,Utah,5,Love it all ,positive,positive
58,Utah,4,The classes could be in buildings closer together. Not so much walking. ,negative,negative
59,Utah,4,"Some speakers were boring, others were fantastic.",positive,positive
60,California,5,My cup is filled having experienced the light and knowledge that was ever present in each of the classes I attended.,positive,trust
61,Alberta,5,In the family housing the recreation room was only open on the main floor.  The 3 other recreation rooms remained locked.  It would have been nice to be able to access the recreation room for relaxing on couches and such without having to go down to the main floor.,neutral,anticipation
62,Utah,4,"More specifics on each class. I found some class titles piqued my interest, but the class veered off differently that I had hoped.   Also, if presenters could take 5 minutes max to introduce their topic, I would have enjoyed several classes more. In some instances they spent half the class introducing or summarizing previous days. It was frustrating and I felt like I was wasting my time in those classes. ",negative,negative
63,Utah,5,"I would love if there were a paragraph description of each class online. Sometimes I will go to a class and it’s not what I thought it was and that can be frustrating to feel like I am wasting my time. The titles and descriptions in the booklet are not that long and sometimes it’s hard to understand what is going to be taught.  Also, this time I had an injury that made walking difficult and I would have loved more shuttles to get me closer to classes.  I would also love to see the Cannon Center have extended hours for lunch. We seemed to have missed it when we would finally break for lunch. Maybe til 2:30 pm. Also to have a shuttle to the Cannon Center would be really nice.  I would also love on the first day of there were more places to pick up my badge. I waited in line for 45 minutes to an hour and it would have been nice to have more options of places to pick it up on that super busy day.  Also one of the days I had to wait 30 minutes to get a shuttle at West Stadium and so I ended up missing a lot of the 9:50 class I was trying to get to. ",negative,fear
64,Utah,5,"More food choices. The cougar eat is too crowded and lines are really long. The grab and go food is great, maybe just spread out around campus?",positive,positive
65,Alberta,5,Better sound quality in the Wilkinson  Center Ballroom.  Expand the parking….perhaps the music building or law building parking lot.  ,positive,positive
66,Utah,4,"I paid 40$ for one day and had an emergency and had to leave early I would’ve come back, but I didn’t wanna have to pay another $40. Just wondering if there’s a way to make it not so expensive.",negative,sadness
67,Arizona,5,,neutral,neutral
68,Arizona,5,Keep looking for engaging presenters. We love Eggett and Hunsaker! Wish you had more presenters like them.,positive,joy
69,Utah,5,"I feel spiritually energized and motivated to be more patriotic (Tad R. Callister), to be more committed to understanding the priesthood (Anthony Sweat), and to learn more and be more professional and responsible (CLE courses). I feel a deeper sense of gratitude for my professional colleagues (CLE Courses). ",positive,trust
70,Virginia,5,Some of the rooms were warm.,positive,positive
71,Utah,5,More variety of classes.  Focuses on men’s mental health ,positive,positive
72,Texas,5,Recommendations ,positive,positive
73,Utah,5,,neutral,neutral
74,Utah,5,Get Jared Halverson a bigger room :),positive,positive
75,Utah,5,Some frustration with sessions in Wilkinson Center and JSB Auditoriums that went to overflow broadcasts.  Wondering if there is another venue that could seat in the thousands (such as Smith Field House) where larger gatherings could reduce the number of these situations.,neutral,surprise
76,California,5,"A couple of the instructors spent a lot of time making the class more of a seminary or institute experience (which they were good at, but this isn't seminary or institute) - was looking more for a lecture and information, so that I could then go home and use as study and learning material.  Looking for their insights.  (when they did go to discussion mode - the class usually went off topic and off the rails)",negative,anger
77,Utah,5,Every year I attend the classes presented by my favorite educators and then attend ones that are new to me. I am never disappointed and always enjoy the learning experience. I am an LDS Endorsed Chaplain and I am able to use what I have learned to enrich my ministry.,positive,positive
78,Missouri,5,My friend and I are in our 70’s and have been attending together for many many years. As we’re getting older it would be nice to have a  parking lot -that is close to campus- for senior citizens. ,positive,positive
79,Utah,5,Keep the food court open longer.,neutral,anticipation
80,Utah,5,"PLEASE don’t let teachers ask for thoughts, opinions, or questions. I pay for the teachers knowledge. I hate it when they allow anyone to comment. It always gets out of hand. Before the classes start they always read a little reminder. I think an addition to the reminder should be not to make comments and ask questions to the teachers privately afterwards. And then PLEASE say “check that your phone is silenced right now AND that your alarms are turned off.” This year I’ve never heard so many people’s alarms going off! It was always older people getting phone calls and alarms.",negative,fear
81,Utah,4,Going everyday!,positive,positive
82,Utah,5,"having a class schedule in an app, that didn't need to have internet access the whole time.",negative,negative
83,Utah,5,"I would love to see more classes on classic literature! Jane Austen, Brontë sisters, etc.",positive,joy
84,Utah,5,Can't think of anything right now.,negative,negative
85,Missouri,5,Perhaps a bit more detail from the presenters about the content of their classes. Some of the titles did not accurately describe the content. ,negative,negative
86,Utah,5,Learning opportunities in a number of areas.,positive,positive
87,Utah,5,"Several of the classes that I attended were too full and with people saving seats even though I was 15 minutes early.  Sitting in the satellite rooms is just a totally different experience and EVERY single time that I had to sit in a satellite room (5 times total) there were audio, visual,  or some kind of technical failure. It just really ruins the quality of education week to sit in a satellite room to a talk,  especially when you can't hear the speaker. It just seems like the technical quality and staff/help is really quite poor.    Also,  more parking available.  It's only for 1 week,  I wish byu would open up the parking options more for that week.  ",negative,negative
88,Utah,4,To have one more shuttle stop from the Wilkinson Center to the Conference Center and or other remote parts of Campus. I am sure that is harder to do with construction going on. ,negative,negative
89,Utah,5,"I felt like there were so many of the classes that were so good it was hard to pick.  I think some of the sessions should be held in the conference center, like Jared Halverson.",positive,trust
90,Washington,5,More activity rooms opened up rather than just the first floor room. ,positive,positive
91,Virginia,5,I wish I could be in 2 places at one time! Too many great class options to choose from.,positive,positive
92,Utah,3,Bigger venues for popular speakers. Maybe limit number of attendees?,negative,negative
93,Utah,5,It would be nice if some of the more popular speakers had bigger rooms and if the overflow situations were more organized,negative,negative
94,Utah,4,I miss not being able to take notes in my schedule on the app,negative,negative
95,Utah,5,Really nothing !  It was great !,positive,positive
96,Utah,4,"I couldn't hear very well, and I certainly couldn't see the instructors' displays over the heads of the people sitting in front of me.  Some of them wore big floppy hats which made it even harder to see.  ",negative,negative
97,Utah,5,,neutral,neutral
98,Minnesota,5,"I felt like the classes were spread far apart. Maybe because of the construction on Harris Fine Arts building. But trying to get from JSB to Conf center was doable but not easy. So, I altered my class schedule to accommodate. Maybe when Harris Fine Arts is open the Conf Center/Marriott Center won’t be necessary. ",neutral,neutral
99,Washington,5,Maybe more signage with arrows or volunteers outside to help direct traffic for at least the first couple days as people are learning to navigate campus.,neutral,anticipation
100,Utah,4,We usually stay at the Marriott Center all the time and have enjoyed the classes immensely.  This year only 1 class held out interest Anthony Sweat. ,positive,positive
101,Utah,4,"The write up of classes are often misleading.  Often the classes are not anything like the write up.  That makes choosing very difficult.  Sometimes it is the classes I find by mistake that turn out to be the best fit for me.  I went to a class on Easter, for instance, and it didn't say that it was actually targeted for young mothers with small children and that ideas and photos for food and games were going to be a large part of the content.  I mistakenly thought it would be more of an intellectual/historical discussion like the class with Lynda Cherry that I took two years ago.  I have such a hard time finding the right classes - lots of walking and trial and error.  I enjoyed the classes by Merrilee Boyack.  I found her by walking into a another class too early and realized that she was who I wanted to listen to that week.",negative,sadness
102,Utah,5,Better eating options for lunch.  Copies of slides from presenters.,negative,negative
103,Mississippi,4,Previous years that we have attended.,neutral,neutral
104,Utah,4,I'm not a fan of political jabs by various presenters. ,negative,anger
105,Idaho,5,,neutral,neutral
106,Utah,5,Maybe a review system for classes or teachers. ,neutral,neutral
107,Washington,5,"I learned so much from the classes, and even if I don't remember the exact words from every class I remember the spirit that I felt.",positive,trust
108,California,5,Can't think of anything to improve,negative,negative
109,Utah,5,Lots of new goals to work on!,positive,positive
110,Utah,5,"I would love to see some classes that address loving and teaching our LGBTQ youth. I felt like there were very few options. Also loved the classes on supporting kids through faith crisis, but hoping for more content in that area next year as it was extremely valuable!!!",positive,joy
111,Utah,5,"The ushers were very aggressive in not letting you save seats for Scott Braithwaite's class in the conference center. I arrived 10 mins early and my family was saving me a seat and I had to be very firm just to get into the room. One of the ladies begrudgingly let me in and said ""What would Jesus do?"" He would want me to sit next to my family!  The ushers were also aggressive about moving people's bags off seats, even if those people were just using the restroom. Overall an odd experience but the class was great.",positive,trust
112,Arizona,5,Just keep the classes and dorms a little warmer. I felt like I was in a meat locker .,negative,negative
113,Virginia,5,I would like to be able to eat in the room. It would be helpful to have tables to write on. The chairs aggravate my back problems - they are designed for younger people. More elevators would be helpful for those who have limited mobility. ,negative,sadness
114,Arizona,5,"Everything was outstanding, not only were the speakers and the classes all of them worthwhile. If I could attend all of them, I would.",positive,joy
115,Texas,5,"Nothing, it was amazing.  ",positive,positive
116,Utah,5,friends invited me to come with them,positive,positive
117,Ontario,5,"Renewed and revitalized my spiritual side. Reawakened in my a desire for all things holy and the power of being around so many good like minded people with such light and love.  Helped me feel like I can better face the challenges my life includes and this particularly difficult upcoming year will be. I had felt so overwhelmed, stressed and lacking in hope. But left Ed week with tools, motivation and faith to handle it. The opportunities for increased knowledge and learning about the scriptures, the Saviour, relationships and psychology were particularly impactful and appreciated. Being from Eastern Canada were members are few, the chance to see an apostle was a thrill. Thanks Ed week for an absolutely amazing experience ",positive,positive
118,Texas,5,good maps,positive,positive
119,Utah,5,I enjoy sharing this experience with my two granddaughters. I love specific classes that fit my interests or needs. ,positive,joy
120,Utah,5,Put Jared Halverson in the Marriott Center.,neutral,neutral
121,Alberta,5,Booklets of classes sent to us before we arrived at education week. We could have been better prepared.,negative,negative
122,Utah,5,"In large venues like the Wilkinson center ballroom, it would help for the speaker to have a better microphone and talk more slowly. Reverberation makes it difficult to hear, depending on where you sit. Also, presenters repeat questions asked by audience members so all can hear instead of just responding as if the questioner and presenter were in a private conversation. ",neutral,anticipation
123,Utah,4,Two classes of the six I attended had mics fail on the instructors. People scrambled around but took 15 - 30 minutes to get mics working both times. This is a big waste for the instructor and all the people who are attending the classes. Please get your technology in order. Have extra mics or batteries or whatever is needed to fix such problems right away. What you are doing now is not working.,negative,negative
124,Utah,5,Can’t think of a thing.,negative,negative
125,Utah,5,Some of the rooms were stuffy and hot. Probably partly because the speaker was popular and the room was overcrowded. Keep to room capacity and plan on overflow rooms.,negative,anger
126,Utah,5,"I am so sorry Susan Easton Black was sick and couldn’t be there, I really wanted to hear her content and know there were a lot of people who wanted too. If she could record her message when she is feeling better, could you have that for people to access who attended education week? That would be wonderful! ",positive,positive
127,Utah,3,Younger and more dynamic speakers in the MC,positive,positive
128,California,5,Need to have classes for Mid single adults. I saw options for YSA but nothing for 35-45 yos. Mid singles travel for conferences and I’m sure more would come to Ed week if there were classes for them,negative,negative
129,Utah,4,"Not so many secular topics. More doctrinally based presentations like understanding the temple liturgy, the power of prayer, accessing the atonement..etc.",neutral,anticipation
130,Utah,5,better parking and shuttles,positive,positive
131,New York,5,I think you should bring back senior pricing,neutral,neutral
132,Utah,5,Nothing!,neutral,neutral
133,Arizona,5,I always feel the spirit and I learn so much about my Savior.,positive,positive
134,Utah,5,,neutral,neutral
135,Utah,5,"A few lecturers were sub par and just read their remarks. Overall, many presentations were excellent.",positive,positive
136,Utah,5,"I have not been to education week for almost 45 years. I really don't think there is anything you can change, it ran so smoothly. The shuttle service (once I figured it out lol) was wonderful and helped SO much so I didn't have to walk so much. Great job your guys!",positive,positive
137,Arizona,5,Put some of the newer popular presenters in the larger venues so we won’t be in multiple overflow rooms.  For example— Jared Halverson and. Ryan Eggett,positive,trust
138,Utah,5,"My sister and I went for years and I hadn’t been in a few years so I met her there. Hope to see more young mothers there in the future. There used to be a good variety of age groups attending, but now it seems to be mostly 55+. Of course I’m so glad that they are going, but it would be great to see younger generations continually attending. Maybe marketing could lean toward that idea; suggesting it becomes a tradition with young mothers to make it a priority to go every year. (I know that this week in August on campus is tricky. Thank you for all you're doing to continually make the program excellent!)  Last thing- Merrillee Boyack (spelling?) has ALWAYS needed a bigger venue. She’s fantastic and this is the age group that she draws in. She’s always needed overflow, at least every time I’ve gone to her class. She needs the ballroom or a larger hall. Just a suggestion. (Everyone says this when we are fighting for seats in there.)",positive,joy
139,Utah,5,,neutral,neutral
140,Utah,5,Nothing,neutral,neutral
141,Washington,4,Overflow rooms prepared in advance to verify slides can seen and instructors heard. ,neutral,anticipation
142,Wyoming,5,This was my first time attending so potentially changing my preparation for the experience would have made things smoother.  That would involve me doing my research on topics/map and so on.   ,positive,positive
143,California,5,Provide married housing.,positive,positive
144,Utah,4,More parking.  Less walking for older people.      Buses were way too crowded and wait lines way too long.   Sometimes we would miss part of our class.  ,negative,sadness
145,Utah,5,You scheduled the philosophy class with Van Dyk at the same time as Dupree's class on other faith traditions.  These were related subjects and you should have spread them out so that people could attend both.  ,neutral,anticipation
146,Utah,4,Put Jared Halverson earlier in the day and in the Marriot!!!!,neutral,neutral
