,state,Satisfaction,text,sent,emotion
0,Utah,5,Dr Jeff ODriscoll speaking,,
1,Arizona,5,,,
2,Texas,5,People not slamming dorm room doors from 6am to 8:30 am,,
3,Utah,5,,,
4,Utah,5,Good mix of spiritual and other interests. ,,
5,Utah,5,I would appreciate longer and more detailed descriptions on what the classes will be about and more information about the teachers.,,
6,Texas,5,Brown route shuttles from the Marriott! The overflow for “the chosen” classes were rough but overall most classes have the space permitted. ,,
7,Utah,2,Make it less woke.,,
8,Utah,5,When I was younger the classes helped me as a mother and also gave me the spiritual uplift I needed. I am way older now but still need the knowledge and testimonies given . There is also something strengthening about just being surrounded by all those attending who are striving to learn more and become more like the Savior. I still Ned that at any age,,
9,Utah,5,Get a ride up the hill from helaman halls to the buildings.  Ha!,,
10,Arizona,5,Less fire alarms being pulled.,,
11,Utah,5,"I was very disappointed by the political comments that Jeff R. Segelke continuously made during his presentation on Wednesday at BYU Education Week. Throughout the presentation he continued to blame problems like inflation on what happened 3-1/2 years ago ""because we all know what happened 3-1/2 years ago.” The comment was made multiple times. It was not good.",,
12,Utah,4,If the description more closely matches the content.,,
13,Arizona,5,Our friends had been before and recommended it.    We retired so we had the time. ,,
14,Utah,5,There was no overflow classroom in the conference building so we had to miss.,,
15,Utah,5,"Please consider some additional food trucks by the Marriott Center, if possible.  It would be nice to have choices other than a hamburger and fries.",,
16,Michigan,5,It has changed me forever! I loved every class I attended!,,
17,California,5,More details about the class!!!,,
18,Arizona,5,I had a couple of friends who had been going and decided to join them. They spoke so highly of it. ,,
19,Utah,4,A 2-3 class option. I went from 3-5:30 and had 2 classes but had to get a full day because it crossed over to 2 sessions.,,
20,Utah,4,,,
21,Utah,5,Can’t think of anything ,,
22,Utah,4,,,
23,Utah,4,More classes on doctrine and easier access.  Construction made for long walks. Hard to make some classes on time.  ,,
24,Utah,5,,,
25,Oregon,5,,,
26,Utah,5,love to learn,,
27,Oregon,5,The focus on learning more about what the scriptures and prophets have taught.  The instructors are well chosen. It has helped me feel spiritually energized.,,
28,Utah,5,A map on rooms in the Wilkinson Center and which outside doors are closest to use for the class.  ,,
