,ResponseId,Q16,sent,distil_bert_sent
0,R_6sYeyF2aGHQynXE,,0,0
1,R_6kLHVTiDhwL1Zr1,,0,0
2,R_5umfj4wCl62oCxb,More structure and organization.,1,0
3,R_6LFpc7FSw5e9c67,,0,0
4,R_6lQJwM4edoHMXK1,,0,0
5,R_6d3QzRxshuQNLJr,Do not make the dance go till 11pm if there is a service project that starts at 9am,-1,0
6,R_1Nxy24pf2A8xSjn,"Better communication prior to the event. More notice, emails sooner, housing specifications etc",-1,1
7,R_1UYO5JLxR2sWMHp,"Better communication. Maybe use the remind app to get the word out when things change. Also, have just 1 set schedule instead of the 5 different ones.",-1,1
8,R_13epNzg8nAnl6ZU,Better communication when it comes to the emailing.,1,1
9,R_1QSpUmY7cWhohzQ,"It felt like the program hasn't hit its stride in delivering to young adults verses youth. Some of the classes were too, rah rah! Or surface level. I would have liked more substance and depth. ",-1,0
10,R_6wFWzbkAR0QJn7y,,0,0
11,R_1eLTJWbaU3dpywm,Please do not make the dance go until 11:00pm at night if there is another day of the conference,-1,1
12,R_5EkbY1H1u90fCTL,More communication and details ahead of time.,1,1
13,R_5s2j7NNNVCPG1Q5,There were a lot of couples and I feel like that limits the interaction between ysa. It is young SINGLE adults after all. So something to distinguish them better would be great.,1,0
14,R_3lxF27B3Adl77hL,"Uh less talking time, I realize they were very good talks and I would agree it was just so much for a really long time like 10 am to 1 pm is a long time to sit and listen maybe do like 2 in the morning after breakfast activities then do 2 more after lunch then more activities  ",-1,0
15,R_3p0gqOUfe4vqPA3,None it was great!,-1,2
16,R_5CHw9H3k5oFnvEZ,Be a little more organized with the food set up and the lessons,-1,1
17,R_1juI9uVZIoBlruB,Making it more organized. It felt very dysfunctional and no one knew what was happening often times. Lots of confusion,-1,2
18,R_5t17AKxNDoD0n1T,-Better Communication  -Closer church building to campus or closer campus to church.,-1,0
19,R_5qm14ikwTApQ7W9,I would like to see more get to know you activities. ? Maybe?,1,1
20,R_1bV7oxGDsQgL2sp,I think just the communication could have been better. It was difficult to know what was going on and when and where we needed to be,-1,2
21,R_6EoGv2t8cauV7cO,More encouragement to make new friends. Everyone spent the whole time with whoever they had come with.,-1,2
22,R_799GGWAijPYB7Lb,,0,0
23,R_5UW26aBUSi0MmjX,I have no other changes to be made,-1,1
24,R_6QllzXwF44q4PQG,Maybe a little more organization.,-1,0
25,R_6YfFvGrkmcgL9H0,,0,0
26,R_37prVZJSF1TbIS1,None.,-1,0
27,R_6ok8rXkvvHRliWp,"i felt more like a tourist than getting to do activities, signed up for housing didnât get it, not enough time to connect with others, felt more task oriented than making connections with others, activities felt more like you had to stay on task than take time to connect (besides the dance)",-1,2
28,R_1lczLPOMr8cLAJc,,0,0
29,R_5iAiZfC7IHEIcNP,,0,0
30,R_7U8Uis8Jg7evDTJ,More organized food lines More organized flow of how we go to each of the classes,1,0
31,R_7zMyJMpwWoY7DNN,,0,0
32,R_7jqXv6QqQhprg1G,Don't let weirdos in.,1,0
33,R_5n0dMu1Ce34DjBM,Communication. Less long periods of free time,-1,0
34,R_6fZhOcdEf2ZkzK1,"Same thing meet some people, listen to the talks and some activities. ",1,1
35,R_6JlY9M9mddYZz89,,0,0
36,R_5GX013aWhbSvJap,It would be good if there were more structured opportunities to interact with people we didnât already know. The groups we were assigned for testimony meeting couldâve been used more throughout the conference and we couldâve gotten to know each other within our groups. I think it wouldâve been good to kind of be forced to get to know new people in that way.,-1,1
37,R_5wEmG9jzfrSCQHT,,0,0
38,R_7zzOlHH6tko9uMn,Better communication. More structured activities. Less feeetime. More options after 8:30pm,-1,1
39,R_3bPKLPEn0G1IPjY,"It would be so amazing to have an EFYSA T-shirt! Also, give out the details of the conference when the sign ups open (this was a big reason some people hesitated to register).",1,1
40,R_3Mh8ARp9GkL1Bgx,"Honestly everyone there was just so weird, there was no normal people and it was really uncomfortable that there weren't many younger people and then 30 year olds were hitting on you.",-1,2
41,R_3TuIAz19YKS3fGh,"Come with questions, with an open heart, and with your own Frisbee or spikeball set.",1,1
42,R_3chcIYwn87ddJbr,"Better communication about the conference beforehand. Once I signed up, I didnât really know much about it until I got there and even then there were times I was a bit confused about what to do.",-1,2
43,R_7JnoNaQ0OrPNaT6,Free time activities could be more structured to help encourage people getting into group activities easier.,-1,1
44,R_6CgRVSruLReY4KJ,Better advertisement and clearer communication about the plans,-1,1
45,R_5kG63sjVCwhXK3O,,0,0
46,R_3CpaFz7EQcAcqrL,,0,0
47,R_5lg10mUbDhGedoJ,Continue with such thought Out planing.,1,0
48,R_10PeLi5IXZ1nfoD,Shared google photos album!!!,1,2
49,R_5lKIj0qHGI2ngm5,Maybe make the communications and directions at the beginning of the conference more clear.,-1,1
50,R_7bIrdqXIBkkU1rU,,1,1
51,R_1rzZgpdtjMO25xv,Better management communication planning. It felt like no one knew what was going on.,-1,2
52,R_77KECZe5U7Wk66Z,"Have a less slap dash style of a plan. It was kind of chaotic. The schedule should be followed, but being strict and aggressive about it was not necessary. It was not received well.    ",-1,1
53,R_3KgNf6pG5kBu8Cd,I think the transportation to and from housing was hard. For many people who got dropped off at hotels or carpooled and then got dropped off it was hard for them to get places from housing 20 minutes away.,-1,2
54,R_7Pd1gHGjQxcdYHt,More EFY line dances at the dance. I like that there was structure but still freedom to do what we wanted/opt in or out of activities. I would say do more in groups/make the conference a bit longer so there is more time to connect to the people.,1,1
55,R_5lt5Zs1egWPPMPw,No recommendations! Everything was wonderful. I wouldnât change anything.,1,2
56,R_6pFkE16GdZqv9yQ,Maybe just more seating outside? But I also know how hard that is.,-1,0
57,R_7poNbLdwLycBLi7,Put something dating related in there as an activity,-1,2
58,R_6uKcOGk1oAxaIFr,,0,0
59,R_7LcXMrsXa5C4DFm,"Use the emails more often, and consolidate all the information needed (location, event) in one slide instead of multiple.",-1,1
60,R_5DnxOMD6LV5U4cE,I wish it was longer! I feel like 3 days wasnât long enough! But it was so much fun! Maybe do some more activities that put people into groups and give us opportunities to meet and talk to new people,1,2
61,R_7RvGzSIr1tPJTL1,It would be nice to have more icebreaker/socializing activities on the first day so those who came alone could find people to spend time with for the rest of the conference.,-1,1
62,R_53fonGUWFN4d02u,,0,0
63,R_5xORTQmX6m2R5kw,"Give more information. I had no idea where to go or what the schedule was. More organization. I feel like it would be better with more structure, especially in relation to the spiritual things. ",-1,0
64,R_57UnIUh0Zy1xFke,,0,0
65,R_6dsDy3IsWODzgjf,Have details for class locations and temple trips.,1,1
66,R_3Oww3pg4yPomhEG,Better organizations of activities and communication of when and where they will be happening. Rotations of activities so everyone could experience the activities instead of just a few.,-1,1
67,R_1cGh2kuAyNwnChz,"I felt like the ysa committee members did an amazing job but it didnât seem to me like there were a lot of them & they were asked to do A LOT it seemed to me so maybe more helpers would have been beneficial.   The bathrooms got really really gross at times because of the amount of people using them. Having a plan for cleaning would be good such as having people sign up to help out.  Check in took a long time & we didnât get our lanyards/name tags until half way through. It was really nice to see peoples names & where they were from so it would be good to have those right at the start.   Sports & activities time in the schedule was not organized well & resulted in a large amount of downtime as there was no adequate space for everyone to play. Some people played sports in the parking lot & that wasnât a great idea in my opinion due to all the cars. Maybe tell participants to bring a game with them like Uno.   The church building was kind of small. I wonder if another building close by would have been bigger or could have been used for some activities.   There were periods of time in the schedule when there was too much down time. For example, we had way too much time at the Independence Visitors Center. Some of that is hard to predict but I think more opportunities to attend workshops would have been nice & shorter workshops like 30 min instead of 45 min.   The area broadcast was hard to watch, I got very sleepy. I would have rather seen someone in person than watch a broadcast. ",-1,1
